concept_a_id,concept_a,concept_b_id,concept_b,cooccurrence_count,gcn_adj_weight
145,concept_145,244,concept_244,3066.0,0.004256898537278175
145,concept_145,151,concept_151,2978.0,0.0048623825423419476
54,concept_54,145,concept_145,2902.0,0.00956811849027872
54,concept_54,244,concept_244,2805.0,0.008963610976934433
145,concept_145,218,concept_218,2691.0,0.004029709845781326
145,concept_145,235,concept_235,2622.0,0.004078416619449854
145,concept_145,289,concept_289,2309.0,0.003520053578540683
20,concept_20,145,concept_145,2269.0,0.010083618573844433
151,concept_151,235,concept_235,2192.0,0.005730791483074427
51,concept_51,209,concept_209,2104.0,0.014755389653146267
51,concept_51,145,concept_145,2089.0,0.010151000693440437
35,concept_35,145,concept_145,2036.0,0.009683188050985336
151,concept_151,218,concept_218,2024.0,0.0050943149253726006
20,concept_20,35,concept_35,2019.0,0.014689447358250618
151,concept_151,244,concept_244,2017.0,0.004706978797912598
145,concept_145,209,concept_209,1999.0,0.004132828675210476
6,concept_6,145,concept_145,1983.0,0.011734936386346817
51,concept_51,117,concept_117,1921.0,0.014500322751700878
117,concept_117,145,concept_145,1897.0,0.009487823583185673
218,concept_218,235,concept_235,1893.0,0.0050897845067083836
145,concept_145,236,concept_236,1876.0,0.003357748268172145
54,concept_54,151,concept_151,1870.0,0.00702740577980876
117,concept_117,209,concept_209,1869.0,0.013490966521203518
145,concept_145,240,concept_240,1826.0,0.0034404718317091465
218,concept_218,244,concept_244,1820.0,0.004367998335510492
132,concept_132,145,concept_145,1802.0,0.010080765001475811
235,concept_235,244,concept_244,1770.0,0.004564662463963032
145,concept_145,149,concept_149,1763.0,0.0036630253307521343
145,concept_145,259,concept_259,1752.0,0.0034527648240327835
145,concept_145,178,concept_178,1727.0,0.003839390119537711
54,concept_54,218,concept_218,1687.0,0.0058143907226622105
20,concept_20,259,concept_259,1680.0,0.010271266102790833
145,concept_145,304,concept_304,1675.0,0.003400764660909772
145,concept_145,163,concept_163,1652.0,0.0037635713815689087
163,concept_163,304,concept_304,1645.0,0.013604502193629742
75,concept_75,145,concept_145,1634.0,0.010718737728893757
54,concept_54,236,concept_236,1631.0,0.006718901917338371
117,concept_117,132,concept_132,1630.0,0.013297670520842075
51,concept_51,132,concept_132,1621.0,0.012848194688558578
236,concept_236,244,concept_244,1620.0,0.006694276351481676
54,concept_54,235,concept_235,1615.0,0.005781764630228281
20,concept_20,244,concept_244,1582.0,0.006814114283770323
35,concept_35,259,concept_259,1581.0,0.010344398207962513
132,concept_132,209,concept_209,1568.0,0.012659579515457153
244,concept_244,289,concept_289,1563.0,0.0034925471991300583
14,concept_14,145,concept_145,1552.0,0.010279924608767033
35,concept_35,69,concept_69,1551.0,0.01265510730445385
7,concept_7,151,concept_151,1539.0,0.014408817514777184
20,concept_20,178,concept_178,1528.0,0.01053840946406126
54,concept_54,289,concept_289,1527.0,0.005357885733246803
240,concept_240,244,concept_244,1519.0,0.00678620720282197
145,concept_145,311,concept_311,1516.0,0.0
20,concept_20,69,concept_69,1507.0,0.01148969866335392
20,concept_20,151,concept_151,1499.0,0.007592902984470129
54,concept_54,240,concept_240,1496.0,0.006487507373094559
20,concept_20,54,concept_54,1489.0,0.009611213579773903
29,concept_29,145,concept_145,1486.0,0.010017301887273788
145,concept_145,253,concept_253,1484.0,0.0
6,concept_6,151,concept_151,1478.0,0.009969118051230907
145,concept_145,260,concept_260,1469.0,0.0
69,concept_69,145,concept_145,1452.0,0.009899858385324478
145,concept_145,283,concept_283,1446.0,0.0
218,concept_218,289,concept_289,1443.0,0.003802608698606491
20,concept_20,289,concept_289,1440.0,0.0068103536032140255
145,concept_145,212,concept_212,1437.0,0.0
145,concept_145,308,concept_308,1437.0,0.0
35,concept_35,178,concept_178,1421.0,0.01048828475177288
6,concept_6,235,concept_235,1421.0,0.009130842983722687
51,concept_51,244,concept_244,1420.0,0.00668774638324976
51,concept_51,260,concept_260,1418.0,0.01145952194929123
7,concept_7,145,concept_145,1416.0,0.011631310917437077
151,concept_151,289,concept_289,1416.0,0.0036283053923398256
10,concept_10,145,concept_145,1409.0,0.010169809684157372
14,concept_14,29,concept_29,1395.0,0.015906404703855515
21,concept_21,145,concept_145,1389.0,0.010244457982480526
20,concept_20,218,concept_218,1385.0,0.006434157490730286
90,concept_90,145,concept_145,1376.0,0.010360930114984512
117,concept_117,260,concept_260,1375.0,0.011437254957854748
209,concept_209,244,concept_244,1373.0,0.0059389593079686165
209,concept_209,260,concept_260,1372.0,0.010183397680521011
35,concept_35,244,concept_244,1367.0,0.006301299203187227
6,concept_6,244,concept_244,1366.0,0.00783483311533928
145,concept_145,193,concept_193,1359.0,0.0
145,concept_145,268,concept_268,1355.0,0.0
236,concept_236,240,concept_240,1346.0,0.007547963876277208
101,concept_101,145,concept_145,1345.0,0.011214585043489933
6,concept_6,218,concept_218,1345.0,0.008320324122905731
35,concept_35,151,concept_151,1345.0,0.007291000802069902
20,concept_20,304,concept_304,1344.0,0.008465309627354145
259,concept_259,304,concept_304,1339.0,0.008947567082941532
145,concept_145,274,concept_274,1331.0,0.0
35,concept_35,54,concept_54,1323.0,0.009139071218669415
51,concept_51,54,concept_54,1320.0,0.009316354058682919
20,concept_20,90,concept_90,1319.0,0.010230124928057194
35,concept_35,289,concept_289,1317.0,0.0066657899878919125
193,concept_193,304,concept_304,1316.0,0.01365125272423029
69,concept_69,259,concept_259,1310.0,0.012287582270801067
14,concept_14,253,concept_253,1308.0,0.014798528514802456
117,concept_117,244,concept_244,1308.0,0.006340566091239452
6,concept_6,54,concept_54,1304.0,0.011208235286176205
20,concept_20,163,concept_163,1304.0,0.009216150268912315
10,concept_10,25,concept_25,1303.0,0.016496567055583
25,concept_25,145,concept_145,1301.0,0.010133815929293633
145,concept_145,249,concept_249,1297.0,0.0
35,concept_35,304,concept_304,1292.0,0.008708929643034935
163,concept_163,259,concept_259,1291.0,0.010363683104515076
259,concept_259,289,concept_289,1290.0,0.00647258386015892
235,concept_235,289,concept_289,1290.0,0.003652829211205244
236,concept_236,308,concept_308,1287.0,0.008532088249921799
54,concept_54,308,concept_308,1285.0,0.006587816867977381
244,concept_244,308,concept_308,1285.0,0.004195371642708778
145,concept_145,187,concept_187,1283.0,0.0
145,concept_145,310,concept_310,1277.0,0.0
35,concept_35,90,concept_90,1276.0,0.010591208003461361
54,concept_54,209,concept_209,1275.0,0.0060669975355267525
10,concept_10,249,concept_249,1272.0,0.014787732623517513
54,concept_54,149,concept_149,1268.0,0.006063674110919237
149,concept_149,244,concept_244,1266.0,0.006226269993931055
145,concept_145,221,concept_221,1264.0,0.0
75,concept_75,151,concept_151,1263.0,0.009443201124668121
29,concept_29,253,concept_253,1262.0,0.014531279914081097
20,concept_20,235,concept_235,1252.0,0.006041503511369228
63,concept_63,145,concept_145,1249.0,0.010048304684460163
51,concept_51,151,concept_151,1247.0,0.006906550377607346
29,concept_29,63,concept_63,1243.0,0.014747687615454197
132,concept_132,244,concept_244,1242.0,0.00673412811011076
163,concept_163,193,concept_193,1241.0,0.01217847503721714
35,concept_35,163,concept_163,1238.0,0.009363781660795212
36,concept_36,145,concept_145,1237.0,0.01012719888240099
178,concept_178,244,concept_244,1235.0,0.006552082486450672
178,concept_178,259,concept_259,1231.0,0.009270052425563335
193,concept_193,259,concept_259,1229.0,0.012374840676784515
20,concept_20,193,concept_193,1227.0,0.009170489385724068
35,concept_35,218,concept_218,1226.0,0.006095242686569691
132,concept_132,260,concept_260,1222.0,0.011369195766746998
54,concept_54,117,concept_117,1221.0,0.006253521423786879
151,concept_151,209,concept_209,1221.0,0.004242926370352507
151,concept_151,236,concept_236,1207.0,0.0036310963332653046
54,concept_54,132,concept_132,1199.0,0.006448177620768547
35,concept_35,193,concept_193,1193.0,0.009542168118059635
54,concept_54,178,concept_178,1193.0,0.006104349158704281
244,concept_244,259,concept_259,1185.0,0.003423017915338278
14,concept_14,63,concept_63,1183.0,0.01379125565290451
244,concept_244,304,concept_304,1180.0,0.0035115734208375216
90,concept_90,178,concept_178,1177.0,0.013753923587501049
25,concept_25,249,concept_249,1172.0,0.014704016037285328
240,concept_240,308,concept_308,1170.0,0.008385778404772282
145,concept_145,243,concept_243,1169.0,0.0
151,concept_151,240,concept_240,1166.0,0.003692589234560728
6,concept_6,289,concept_289,1164.0,0.007330545224249363
