hyperedge_id,concept_ids,concepts,degree,hyperedge_weight
2196,151|7,concept_151 | concept_7,2,0.02894326113164425
267,54|145,concept_54 | concept_145,2,0.02832656539976597
502,145|126,concept_145 | concept_126,2,0.02813059091567993
478,145|101,concept_145 | concept_101,2,0.027808215469121933
428,145|45,concept_145 | concept_45,2,0.02772686444222927
488,145|111,concept_145 | concept_111,2,0.027392283082008362
277,54|244,concept_54 | concept_244,2,0.02737974375486374
479,145|102,concept_145 | concept_102,2,0.02723146788775921
395,145|6,concept_145 | concept_6,2,0.027211351320147514
476,145|99,concept_145 | concept_99,2,0.027035018429160118
481,145|104,concept_145 | concept_104,2,0.026977533474564552
500,145|124,concept_145 | concept_124,2,0.026949334889650345
453,145|75,concept_145 | concept_75,2,0.026934361085295677
494,145|118,concept_145 | concept_118,2,0.026841018348932266
508,145|133,concept_145 | concept_133,2,0.026789283379912376
3379,165|306,concept_165 | concept_306,2,0.026735151186585426
214,51|209,concept_51 | concept_209,2,0.02672221139073372
390,145|1,concept_145 | concept_1,2,0.026713909581303596
396,145|7,concept_145 | concept_7,2,0.026630057021975517
376,132|145,concept_132 | concept_145,2,0.026575034484267235
2661,152|293,concept_152 | concept_293,2,0.02657218836247921
209,51|145,concept_51 | concept_145,2,0.026531700044870377
3104,45|203,concept_45 | concept_203,2,0.026493817567825317
393,145|4,concept_145 | concept_4,2,0.026487072929739952
403,145|15,concept_145 | concept_15,2,0.026479171589016914
433,145|52,concept_145 | concept_52,2,0.02645285055041313
391,145|2,concept_145 | concept_2,2,0.02644142508506775
477,145|100,concept_145 | concept_100,2,0.02638866752386093
2454,220|5,concept_220 | concept_5,2,0.026294497773051262
341,117|145,concept_117 | concept_145,2,0.026263689622282982
404,145|16,concept_145 | concept_16,2,0.02624455653131008
415,145|31,concept_145 | concept_31,2,0.026231752708554268
426,145|43,concept_145 | concept_43,2,0.026199262589216232
444,145|65,concept_145 | concept_65,2,0.026159988716244698
